name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW190421_213856,GW190421_213856-v2,1239917954,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190421_213856-v2,42,-7.4,10.1,32,-9.8,8.3,10.7,-0.4,0.2,2590,-1240,1490,-0.1,-0.27,0.21,73.6,-9.5,13.2,31.4,-4.6,6,,,,0.45,-0.19,0.21,0.0028,,,0.99792,,,70.5,-9,12.4
GW190413_134308,GW190413_134308-v2,1239198207,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190413_134308-v2,51.3,-12.6,16.6,30.4,-12.7,11.7,10.6,-0.5,0.4,3800,-1830,2480,-0.01,-0.38,0.28,81.3,-11.8,16.8,33.3,-6.3,7.8,,,,0.62,-0.26,0.32,0.18,,,0.99058,,,78,-11.5,16.1
GW190413_052954,GW190413_052954-v2,1239168613,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190413_052954-v2,33.7,-6.4,10.4,24.2,-7,6.5,9,-0.8,0.4,3320,-1400,1910,-0.04,-0.32,0.27,58,-7.8,10.6,24.5,-3.4,4.6,,,,0.56,-0.21,0.25,0.82,,,0.9275,,,55.5,-7.3,10.1
GW190412,GW190412_053044-v4,1239082262,4,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190412-v4,27.7,-6,6,9,-1.4,2,19.8,-0.3,0.2,720,-220,240,0.21,-0.13,0.12,36.8,-4.4,4.7,13.3,-0.5,0.5,,,,0.15,-0.04,0.04,1.00E-05,,,1,,,35.6,-4.5,4.8
GW190408_181802,GW190408_181802-v2,1238782700,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190408_181802-v2,24.8,-3.5,5.4,18.5,-4,3.3,14.6,-0.3,0.2,1540,-620,440,-0.03,-0.17,0.13,43.4,-3,4.2,18.5,-1.2,1.9,,,,0.29,-0.11,0.07,1.00E-05,,,1,,,41.4,-2.9,3.9
GW190403_051519,GW190403_051519-v1,1238303737,1,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190403_051519-v1,85,-33,27.8,20,-8.4,26.3,7.6,-1.1,0.6,8280,-4290,6720,0.68,-0.43,0.16,106.6,-23.6,26.7,34,-8.4,15.1,,,,1.18,-0.53,0.73,7.7,,,0.60924,,,102.2,-24.3,26.3
GW170823,GW170823-v2,1187529257,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW170823-v2,38.3,-6.2,9.5,29,-7.8,6.5,12.2,-0.3,0.2,1970,-930,840,0.05,-0.22,0.21,67,-7.2,10.3,28.6,-3.3,4.5,,,,0.36,-0.15,0.13,,,,,,,63.9,-6.8,9.6
GW170818,GW170818-v2,1187058327,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW170818-v2,34.8,-4.2,6.5,27.6,-5.1,4.1,12,-0.4,0.3,1080,-410,430,-0.06,-0.22,0.19,62.5,-4.6,5.3,26.8,-2,2.3,,,,0.21,-0.07,0.07,,,,,,,59.7,-4.2,4.9
GW170817,GW170817-v3,1187008882,3,GWTC-1-confident,https://doi.org/10.7935/82H3-HH23,https://gwosc.org/api/v2/event-versions/GW170817-v3,1.46,-0.1,0.12,1.27,-0.09,0.09,33,,,40,-15,7,0,-0.01,0.02,,,,1.186,-0.001,0.001,,,,0.01,0,0,1.00E-07,,,1,,,2.8,,
GW170814,GW170814-v4,1186741862,4,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW170814-v4,30.9,-3.3,5.4,24.9,-4,3,17.7,-0.3,0.2,610,-230,160,0.08,-0.12,0.13,56,-3,3.5,24.1,-1.2,1.4,,,,0.13,-0.05,0.03,,,,,,,53.2,-2.7,3.2
GW170809,GW170809-v2,1186302520,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW170809-v2,34.1,-5.3,8,24.2,-5.3,4.8,12.8,-0.3,0.2,1070,-380,310,0.07,-0.17,0.17,58.5,-3.9,5.3,24.8,-1.6,2.2,,,,0.21,-0.07,0.05,,,,,,,55.7,-3.6,5
GW170729,GW170729-v2,1185389807,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW170729-v2,54.7,-12.8,12.7,30.2,-10.2,11.9,10.7,-0.5,0.4,2490,-1230,1690,0.29,-0.33,0.25,84.4,-10.9,15,34.6,-5.7,7,,,,0.44,-0.19,0.24,,,,,,,80.3,-10.2,13.5
GW170608,GW170608-v4,1180922495,4,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW170608-v4,10.6,-1.4,4,7.8,-1.9,1.2,15.3,-0.3,0.2,340,-130,120,0.05,-0.05,0.13,18.5,-0.6,2,7.9,-0.2,0.2,,,,0.07,-0.03,0.03,,,,,,,17.7,-0.6,2.1
GW170104,GW170104-v3,1167559937,3,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW170104-v3,28.7,-4.2,6.6,20.8,-4.7,4.1,13.8,-0.3,0.2,1110,-480,390,-0.04,-0.19,0.15,49.6,-3.6,4.7,21.1,-1.5,2,,,,0.22,-0.09,0.07,,,,,,,47.5,-3.4,4.5
GW151226,GW151226-v3,1135136351,3,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW151226-v3,14.2,-3.6,11.1,7.5,-2.8,2.4,12.7,-0.4,0.3,460,-200,160,0.2,-0.08,0.23,21.7,-1.6,8.3,8.9,-0.3,0.3,,,,0.1,-0.04,0.03,,,,,,,20.7,-1.6,8.6
GW151012,GW151012-v4,1128678900,4,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW151012-v4,24.8,-6.3,14.5,13.6,-4.9,4.5,9.3,-0.5,0.3,1000,-490,640,0.12,-0.21,0.28,38.8,-4.7,10.3,15.6,-1.5,2.3,,,,0.2,-0.09,0.11,,,,,,,37.1,-4.6,10.6
GW150914,GW150914-v4,1126259462,4,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW150914-v4,34.6,-2.6,4.4,30,-4.6,2.9,26,-0.2,0.1,470,-160,140,-0.04,-0.14,0.12,64.5,-3.2,3.7,27.9,-1.5,1.7,,,,0.1,-0.03,0.03,,,,,,,61.5,-2.9,3.4
